DATE,REVOLNS
1968-01-01,1.4010
1968-02-01,1.4180
1968-03-01,1.4390
1968-04-01,1.4940
1968-05-01,1.5360
1968-06-01,1.5980
1968-07-01,1.6490
1968-08-01,1.7190
1968-09-01,1.7880
1968-10-01,1.8810
1968-11-01,1.9220
1968-12-01,2.1050
1969-01-01,2.2710
1969-02-01,2.3100
1969-03-01,2.3490
1969-04-01,2.4620
1969-05-01,2.5860
1969-06-01,2.6980
1969-07-01,2.8030
1969-08-01,2.9190
1969-09-01,3.0810
1969-10-01,3.2100
1969-11-01,3.3430
1969-12-01,3.7200
1970-01-01,3.9090
1970-02-01,3.9500
1970-03-01,3.9670
1970-04-01,4.0570
1970-05-01,4.1140
1970-06-01,4.2290
1970-07-01,4.3360
1970-08-01,4.4470
1970-09-01,4.6030
1970-10-01,4.6860
1970-11-01,4.7670
1970-12-01,5.1300
1971-01-01,7.5440
1971-02-01,7.4670
1971-03-01,7.3640
1971-04-01,7.4610
1971-05-01,7.5680
1971-06-01,7.6430
1971-07-01,7.7690
1971-08-01,7.9360
1971-09-01,8.1490
1971-10-01,8.0970
1971-11-01,8.1020
1971-12-01,8.5290
1972-01-01,8.4670
1972-02-01,8.3050
1972-03-01,8.2570
1972-04-01,8.3800
1972-05-01,8.4670
1972-06-01,8.6700
1972-07-01,8.8330
1972-08-01,9.0700
1972-09-01,9.2740
1972-10-01,9.1920
1972-11-01,9.2170
1972-12-01,9.7010
1973-01-01,9.7720
1973-02-01,9.7050
1973-03-01,9.6270
1973-04-01,9.7410
1973-05-01,9.9030
1973-06-01,10.2150
1973-07-01,10.4140
1973-08-01,10.7720
1973-09-01,10.9120
1973-10-01,10.9460
1973-11-01,11.1400
1973-12-01,11.7100
1974-01-01,11.7910
1974-02-01,11.5720
1974-03-01,11.3490
1974-04-01,11.4950
1974-05-01,11.8020
1974-06-01,12.1380
1974-07-01,12.5150
1974-08-01,12.9810
1974-09-01,13.1750
1974-10-01,13.1760
1974-11-01,13.2720
1974-12-01,13.6820
1975-01-01,13.8460
1975-02-01,13.5590
1975-03-01,13.2060
1975-04-01,13.2960
1975-05-01,13.3220
1975-06-01,13.4290
1975-07-01,13.7170
1975-08-01,14.0570
1975-09-01,14.3060
1975-10-01,14.3
1975-11-01,14.3070
1975-12-01,15.0200
1976-01-01,15.1130
1976-02-01,14.8050
1976-03-01,14.4560
1976-04-01,14.6140
1976-05-01,14.6880
1976-06-01,14.8890
1976-07-01,15.3290
1976-08-01,15.6710
1976-09-01,16.0330
1976-10-01,16.0990
1976-11-01,16.2390
1976-12-01,17.1900
1977-01-01,32.2110
1977-02-01,31.5870
1977-03-01,31.4410
1977-04-01,31.9330
1977-05-01,32.4450
1977-06-01,32.9390
1977-07-01,33.2760
1977-08-01,33.9540
1977-09-01,34.5750
1977-10-01,35.0400
1977-11-01,36.0140
1977-12-01,39.2740
1978-01-01,38.7950
1978-02-01,38.1420
1978-03-01,38.0320
1978-04-01,38.4230
1978-05-01,38.9630
1978-06-01,39.8800
1978-07-01,40.5460
1978-08-01,41.6010
1978-09-01,42.5870
1978-10-01,42.9910
1978-11-01,44.1660
1978-12-01,48.3090
1979-01-01,47.8
1979-02-01,47.0680
1979-03-01,46.7700
1979-04-01,47.2450
1979-05-01,47.8550
1979-06-01,48.5450
1979-07-01,48.9180
1979-08-01,50.3040
1979-09-01,51.2300
1979-10-01,51.9280
1979-11-01,53.2700
1979-12-01,56.9370
1980-01-01,56.1640
1980-02-01,55.1530
1980-03-01,54.1460
1980-04-01,53.4910
1980-05-01,53.0360
1980-06-01,52.8500
1980-07-01,52.8330
1980-08-01,53.5620
1980-09-01,53.8060
1980-10-01,53.5930
1980-11-01,54.1740
1980-12-01,58.5060
1981-01-01,57.7210
1981-02-01,56.3780
1981-03-01,55.8530
1981-04-01,56.3810
1981-05-01,56.6520
1981-06-01,57.7950
1981-07-01,57.9210
1981-08-01,58.6030
1981-09-01,59.8070
1981-10-01,60.0370
1981-11-01,60.6100
1981-12-01,64.8070
1982-01-01,63.4240
1982-02-01,61.7370
1982-03-01,60.9520
1982-04-01,61.3530
1982-05-01,61.6370
1982-06-01,62.5780
1982-07-01,63.2970
1982-08-01,64.1630
1982-09-01,64.8290
1982-10-01,64.9250
1982-11-01,65.5630
1982-12-01,70.4610
1983-01-01,68.9340
1983-02-01,66.8040
1983-03-01,66.7430
1983-04-01,67.4390
1983-05-01,67.6750
1983-06-01,69.3880
1983-07-01,70.5230
1983-08-01,71.9140
1983-09-01,73.1970
1983-10-01,74.5190
1983-11-01,76.7180
1983-12-01,83.8020
1984-01-01,81.5140
1984-02-01,80.6160
1984-03-01,82.0760
1984-04-01,83.2710
1984-05-01,85.7250
